adjudication_row,component,requirement,root_box_id,record_id,freeze_route_kind,freeze_route_status,has_witness_or_source_seed,min_surplus,numeric_clearance_ok,route_status_ok,adjudication_status,adjudication_pass,failure_reason,proof_boundary
1,TENSOR,inner_witness_record_adjudication_required,D060-00001200,A062-D060-00001200.d1rho0.d2rho1.d3x30.d4y31.d5x50.d6y51.d7rho1.d8x31.d9y30.d10x50.d11y50.d12rho0,p0_symmetric_inner_witness_record_seed_freeze_candidate,frozen_witness_seed_candidate_pending_adjudication,True,0.000627353496172,True,True,pass_witness_source_reconstruction,True,,candidate_final_adjudication_replay_not_external_formalization
2,TENSOR,inner_witness_record_adjudication_required,D060-00008403,A062-D060-00008403.d1rho0.d2rho0.d3x31.d4y31.d5x51.d6y51.d7rho0.d8x30.d9y30.d10x51.d11y50.d12rho1,p0_symmetric_inner_witness_record_seed_freeze_candidate,frozen_witness_seed_candidate_pending_adjudication,True,0.000627353496172,True,True,pass_witness_source_reconstruction,True,,candidate_final_adjudication_replay_not_external_formalization
3,H004,clustered_inner_witness_record_adjudication_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x30.d16rho1.d17y30.d18y50.d19rho0.d20x51.d21y50.d22x31.d23y50.d24x51.d25y31.d26x31,h004_clustered_inner_witness_record_seed_freeze_candidate,frozen_cluster_witness_seed_candidate_pending_adjudication,True,0.000616839487564,True,True,pass_witness_source_reconstruction,True,,candidate_final_adjudication_replay_not_external_formalization
4,H004,clustered_inner_witness_record_adjudication_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x30.d16rho1.d17y31.d18y50.d19rho0.d20x51.d21y50.d22x31.d23y50.d24x51.d25y30.d26x31,h004_clustered_inner_witness_record_seed_freeze_candidate,frozen_cluster_witness_seed_candidate_pending_adjudication,True,0.000616839487564,True,True,pass_witness_source_reconstruction,True,,candidate_final_adjudication_replay_not_external_formalization
5,H004,clustered_inner_witness_record_adjudication_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho1.d17y30.d18y50.d19x30.d20rho0.d21x51.d22y50.d23y50.d24x51.d25x30.d26y31,h004_clustered_inner_witness_record_seed_freeze_candidate,frozen_cluster_witness_seed_candidate_pending_adjudication,True,0.000616839487564,True,True,pass_witness_source_reconstruction,True,,candidate_final_adjudication_replay_not_external_formalization
6,H004,clustered_inner_witness_record_adjudication_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x50.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x30.d20rho0.d21x51.d22y50,h004_clustered_inner_witness_record_seed_freeze_candidate,frozen_cluster_witness_seed_candidate_pending_adjudication,True,0.000616839487564,True,True,pass_witness_source_reconstruction,True,,candidate_final_adjudication_replay_not_external_formalization
7,H004,clustered_inner_witness_record_adjudication_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x30.d16rho1.d17y30.d18y50.d19rho0.d20y50.d21x50.d22x31.d23y50.d24x50.d25y31.d26x31,h004_clustered_inner_witness_record_seed_freeze_candidate,frozen_cluster_witness_seed_candidate_pending_adjudication,True,0.000616839487564,True,True,pass_witness_source_reconstruction,True,,candidate_final_adjudication_replay_not_external_formalization
8,H004,clustered_inner_witness_record_adjudication_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x30.d16rho1.d17y31.d18y50.d19rho0.d20y50.d21x50.d22x31.d23y50.d24x50.d25y30.d26x31,h004_clustered_inner_witness_record_seed_freeze_candidate,frozen_cluster_witness_seed_candidate_pending_adjudication,True,0.000616839487564,True,True,pass_witness_source_reconstruction,True,,candidate_final_adjudication_replay_not_external_formalization
9,H004,clustered_inner_witness_record_adjudication_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x31.d16rho1.d17y30.d18y50.d19x30.d20rho0.d21y50.d22x50.d23y50.d24x50.d25x30.d26y31,h004_clustered_inner_witness_record_seed_freeze_candidate,frozen_cluster_witness_seed_candidate_pending_adjudication,True,0.000616839487564,True,True,pass_witness_source_reconstruction,True,,candidate_final_adjudication_replay_not_external_formalization
10,H004,clustered_inner_witness_record_adjudication_required,D060-00006002,A062-D060-00006002.d1rho1.d2rho1.d3y51.d4x51.d5y31.d6x31.d7rho0.d8y51.d9x51.d10y30.d11x30.d12rho1.d13x51.d14y30.d15x31.d16rho1.d17y31.d18y50.d19x30.d20rho0.d21y50.d22x50,h004_clustered_inner_witness_record_seed_freeze_candidate,frozen_cluster_witness_seed_candidate_pending_adjudication,True,0.000616839487564,True,True,pass_witness_source_reconstruction,True,,candidate_final_adjudication_replay_not_external_formalization
